SourceText,text,type,note
Children need to do things in their own time. Try to give them time to explore and be patient. Play alongside and copy what they are doing but try to let them keep the initiative.,Children need to do things in their own time. Try to give them time to explore and be patient. Play alongside and copy what they are doing but try to let them keep the initiative.,text,
"Ask your child what they would like to do. You can say, ""I have 5 minutes to spend One-on-One Time with you, what would you like to do?","Ask your child what they would like to do. You can say, ""I have 5 minutes to spend One-on-One Time with you, what would you like to do?",text,
"Set aside a specific time to spend One-on-One Time with your teen each day. Choose a time when you and our teen will not be interrupted and when your teen does not have something else that they want to do, like watching TV or playing with phones.","Set aside a specific time to spend One-on-One Time with your teen each day. Choose a time when you and our teen will not be interrupted and when your teen does not have something else that they want to do, like watching TV or playing with phones.",text,
Tell your teen that you would like to spend some time with them and that they can choose what to do or talk about. Your teen might think this is weird at first but will come to enjoy having this dedicated time with you!,Tell your teen that you would like to spend some time with them and that they can choose what to do or talk about. Your teen might think this is weird at first but will come to enjoy having this dedicated time with you!,text,
4. Observe your child. ,4. Observe your child. ,text,
See what facial expressions your child is making. Notice what your child is interested in or looking at. ,See what facial expressions your child is making. Notice what your child is interested in or looking at. ,text,
"Give just enough help to let it be the child’s achievement. It is okay to play alongside and copy what they are doing but try to let them keep the initiative. If your child gets frustrated, you can gently reassure your child by","Give just enough help to let it be the child’s achievement. It is okay to play alongside and copy what they are doing but try to let them keep the initiative. If your child gets frustrated, you can gently reassure your child by",text,
gently stroke their back.,gently stroke their back.,text,
"Choosing builds their self confidence. If they want to do something that isn’t OK with COVID-19 rules, then this is a chance to talk with them about this.","Choosing builds their self confidence. If they want to do something that isn’t OK with COVID-19 rules, then this is a chance to talk with them about this.",text,
"Try to do something different than watching TV or playing with a tablet/phone. However, you may need to at first join your teen and watch their favourite TV programme with them. They may feel comfortable doing other activities with time.","Try to do something different than watching TV or playing with a tablet/phone. However, you may need to at first join your teen and watch their favourite TV programme with them. They may feel comfortable doing other activities with time.",text,
Try to follow your teen's lead during One-on-One Time. Accept their suggestions. Remember this is your teen's activity. Your job is to show an interest and say something nice.,Try to follow your teen's lead during One-on-One Time. Accept their suggestions. Remember this is your teen's activity. Your job is to show an interest and say something nice.,text,
Listen to the sounds or words your child is making. You can even make the same sounds by copying your child!,Listen to the sounds or words your child is making. You can even make the same sounds by copying your child!,text,
"If your child cannot think of anything, you can give them a choice of a couple things that you know they like.","If your child cannot think of anything, you can give them a choice of a couple things that you know they like.",text,
"Babies learn through play! Help your child explore the world through the five senses. Let your child use all of their senses when exploring the world. Sometimes when you read to your child, your child will want to put the book in their mouth. That is okay!","Babies learn through play! Help your child explore the world through the five senses. Let your child use all of their senses when exploring the world. Sometimes when you read to your child, your child will want to put the book in their mouth. That is okay!",text,
Start talking to your baby from the moment they are born (even before when they are in the womb). Did you know your baby can even recognise their name at a very early age? Try saying your baby's name and notice how they respond! ,Start talking to your baby from the moment they are born (even before when they are in the womb). Did you know your baby can even recognise their name at a very early age? Try saying your baby's name and notice how they respond! ,text,
4. Give your teen all of your attention. ,4. Give your teen all of your attention. ,text,
Switch off the television and put away phones. Make sure you can give all of your attention to your teen.,Switch off the television and put away phones. Make sure you can give all of your attention to your teen.,text,
"You can even try rephrasing back what your teen says when they speak to you. For example, when your teen says, “This math problem is really hard,” you can say, “Yeah, I see that you are finding it difficult.” It shows you are really listening to them and will make them feel supported.","You can even try rephrasing back what your teen says when they speak to you. For example, when your teen says, “This math problem is really hard,” you can say, “Yeah, I see that you are finding it difficult.” It shows you are really listening to them and will make them feel supported.",text,
"It is okay for your child to want to do many different things. Your child’s attention may wander to many different things during One-on-One Time. Anything that is happening can grab their attention: the sound of a siren, the feeling of a breeze, feelings in the body. Just keep your attention on your child.","It is okay for your child to want to do many different things. Your child’s attention may wander to many different things during One-on-One Time. Anything that is happening can grab their attention: the sound of a siren, the feeling of a breeze, feelings in the body. Just keep your attention on your child.",text,
Look at your teen. Nodding or “I see” shows your teen you are really paying attention. Accept what they are saying without judging them.,Look at your teen. Nodding or “I see” shows your teen you are really paying attention. Accept what they are saying without judging them.,text,
"Listening to your child is more important than talking to them at this time. If you do talk you should describe what your child is doing. Use words to describe actions, colours, shapes, numbers, sizes, textures, temperatures, tastes, sounds, and anything else that is happening!","Listening to your child is more important than talking to them at this time. If you do talk you should describe what your child is doing. Use words to describe actions, colours, shapes, numbers, sizes, textures, temperatures, tastes, sounds, and anything else that is happening!",text,
"Use words to describe actions, colours, shapes, numbers, sizes, textures, temperatures, tastes, sounds, and anything else that is happening. Speak with enthusiasm when describing what your child is doing.","Use words to describe actions, colours, shapes, numbers, sizes, textures, temperatures, tastes, sounds, and anything else that is happening. Speak with enthusiasm when describing what your child is doing.",text,
"One-on-One Time with your child can be fun for you, too! You might even find that you feel less stressed after playing with your child.","One-on-One Time with your child can be fun for you, too! You might even find that you feel less stressed after playing with your child.",text,
"One-on-One Time with your teen can be fun for you, too! You might even find that you feel less stressed after spending with your teen.","One-on-One Time with your teen can be fun for you, too! You might even find that you feel less stressed after spending with your teen.",text,
Do you want to go back and learn more about how to spend One-on-One Time with your child?,Do you want to go back and learn more about how to spend One-on-One Time with your child?,text,
"Look for ways you can connect with your baby playfully during feeding, bathing, and dressing. You can even make bedtime a fun and nurturing experience for you and your baby in a calm way.","Look for ways you can connect with your baby playfully during feeding, bathing, and dressing. You can even make bedtime a fun and nurturing experience for you and your baby in a calm way.",text,
Do you want to go back and learn more about how to spend One-on-One Time with your teen?,Do you want to go back and learn more about how to spend One-on-One Time with your teen?,text,
Do you want to go back and learn more about how to spend One-on-One Time with your baby?,Do you want to go back and learn more about how to spend One-on-One Time with your baby?,text,
Congratulations! You have added another skill to your Parenting Toolkit. Quality time with your children is the best gift that you can ever give them. ,Congratulations! You have added another skill to your Parenting Toolkit. Quality time with your children is the best gift that you can ever give them. ,text,
Would you like some suggestions for activities to do with your baby?,Would you like some suggestions for activities to do with your baby?,text,
Would you like some suggestions for activities to do with your teen?,Would you like some suggestions for activities to do with your teen?,text,
Would you like some suggestions for activities to do with your child?,Would you like some suggestions for activities to do with your child?,text,
"That's okay! You can always type ""Help"" at anytime if you need an activity. Chat to you later!","That's okay! You can always type ""Help"" at anytime if you need an activity. Chat to you later!",text,
Keep it positive! Make sure your children get lots of praise when they are behaving well. This will make them want to behave that way more often.,Keep it positive! Make sure your children get lots of praise when they are behaving well. This will make them want to behave that way more often.,text,
"We all appreciate it when the good things we do are recognised by others, especially when it is someone who is close to us. ","We all appreciate it when the good things we do are recognised by others, especially when it is someone who is close to us. ",text,
"Praise works for our children, too. When you bring more attention to positive behaviour, they are likely to do it more often. They also will feel good about themselves! ","Praise works for our children, too. When you bring more attention to positive behaviour, they are likely to do it more often. They also will feel good about themselves! ",text,
Here are 3 simple steps to get it right:,Here are 3 simple steps to get it right:,text,
"Step 1. Praise your child or teenager for something they have done well. They may not show it, but you’ll see them doing that good thing again. It will also reassure them that you notice and care.","Step 1. Praise your child or teenager for something they have done well. They may not show it, but you’ll see them doing that good thing again. It will also reassure them that you notice and care.",text,
"Step 2. Praise the behaviour. Use words to describe the behaviour that you are praising. Say, 'Well done for finishing all your chores, Sam,' instead of 'Good job.'","Step 2. Praise the behaviour. Use words to describe the behaviour that you are praising. Say, 'Well done for finishing all your chores, Sam,' instead of 'Good job.'",text,
Step 3. Praise with enthusiasm. Really mean it when you say it!,Step 3. Praise with enthusiasm. Really mean it when you say it!,text,
Praise your children when they are behaving well! They may not show it but you’ll see them doing that good behaviour again…,Praise your children when they are behaving well! They may not show it but you’ll see them doing that good behaviour again…,text,
"Well done for adding another skill to your Parenting Toolkit! Try to find 3 things that you can praise your children for every day. You can also praise other adults in your household, too. Notice how they respond!","Well done for adding another skill to your Parenting Toolkit! Try to find 3 things that you can praise your children for every day. You can also praise other adults in your household, too. Notice how they respond!",text,
" Remember you can always type ""Help"" if you ever want more parenting tips or support. Chat to you later!"," Remember you can always type ""Help"" if you ever want more parenting tips or support. Chat to you later!",text,
"Help your child/teen learn how to solve problems. As children get older, they become more independent and sometimes push the boundaries that we create to keep them safe. ","Help your child/teen learn how to solve problems. As children get older, they become more independent and sometimes push the boundaries that we create to keep them safe. ",text,
Challenges are stressful. But problem-solving can really help. There are 6 basic steps for problem solving:,Challenges are stressful. But problem-solving can really help. There are 6 basic steps for problem solving:,text,
1. Identify the problem,1. Identify the problem,text,
2. Think of possible solutions,2. Think of possible solutions,text,
3. Figure out what the results of each solution would be,3. Figure out what the results of each solution would be,text,
4. Choose one solution ,4. Choose one solution ,text,
5. Try it out!,5. Try it out!,text,
"6. Did it work? Great! If it did not work, then try another solution","6. Did it work? Great! If it did not work, then try another solution",text,
We can also teach our children the same steps.,We can also teach our children the same steps.,text,
"When something bad happens, we often get upset and blame our children. But what they really need is someone to help them work through their problems. ","When something bad happens, we often get upset and blame our children. But what they really need is someone to help them work through their problems. ",text,
Take a Pause! Become aware of anger and stress. Take a deep breath or count to 10 before you react. Then respond in a calmer way.,Take a Pause! Become aware of anger and stress. Take a deep breath or count to 10 before you react. Then respond in a calmer way.,text,
Try to find solutions together:,Try to find solutions together:,text,
• Allow your teen to express how they feel and accept their feelings. ,• Allow your teen to express how they feel and accept their feelings. ,text,
• Try to listen to your teen and see things from their perspective. ,• Try to listen to your teen and see things from their perspective. ,text,
• Thank your teen for being open and trusting you,• Thank your teen for being open and trusting you,text,
Well done! You have added another skill to your Parenting Toolkit. Helping your teen learn how to solve problems will be something they will take with them the rest of their lives. What a gift!,Well done! You have added another skill to your Parenting Toolkit. Helping your teen learn how to solve problems will be something they will take with them the rest of their lives. What a gift!,text,
"Try to redirect. Stop it before it starts! When your children get restless, you can distract them with something interesting or fun: ""Come, let's play a game together!""","Try to redirect. Stop it before it starts! When your children get restless, you can distract them with something interesting or fun: ""Come, let's play a game together!""",text,
"Stop it before it starts! When your children get restless, you can distract them with something interesting or fun: ""Come, let's play a game together!""","Stop it before it starts! When your children get restless, you can distract them with something interesting or fun: ""Come, let's play a game together!""",text,
"Keep it positive. It normal to want to say something about your child's negative behaviour, like “Don’t whine,” or “Stop running in the house.” Instead, just say something that you want your child to do, like ""Speak with a calm voice,"" or ""Remember to walk inside the house.""","Keep it positive. It normal to want to say something about your child's negative behaviour, like “Don’t whine,” or “Stop running in the house.” Instead, just say something that you want your child to do, like ""Speak with a calm voice,"" or ""Remember to walk inside the house.""",text,
"If your baby is starting to crawl or walk, you can also redirect them by physically picking them up and focusing their attention on something else interesting. Use a lively and cheerful voice!","If your baby is starting to crawl or walk, you can also redirect them by physically picking them up and focusing their attention on something else interesting. Use a lively and cheerful voice!",text,
Well done! You have added another tool to your Parenting Toolkit. Remember that redirecting your children only works before or at the beginning of a bad behaviour. ,Well done! You have added another tool to your Parenting Toolkit. Remember that redirecting your children only works before or at the beginning of a bad behaviour. ,text,
"You can also always type ""Help"" for more tips.","You can also always type ""Help"" for more tips.",text,
2. Try to stay calm when giving the consequence.,2. Try to stay calm when giving the consequence.,text,
"These behaviours can take the form of whining, demanding, showing off, tantrums, and lots of other negative attention seeking and demanding behaviours that might make us think of the child as a bad child. ","These behaviours can take the form of whining, demanding, showing off, tantrums, and lots of other negative attention seeking and demanding behaviours that might make us think of the child as a bad child. ",text,
"3. Make sure you can follow through with the consequence. For example, taking away a teenager’s phone for a week is hard to enforce. Taking it away for one hour is more realistic.","3. Make sure you can follow through with the consequence. For example, taking away a teenager’s phone for a week is hard to enforce. Taking it away for one hour is more realistic.",text,
"But there are no bad children, only difficult behaviours!","But there are no bad children, only difficult behaviours!",text,
1. Allow your teen to express how they feel and accept their feelings. ,1. Allow your teen to express how they feel and accept their feelings. ,text,
2. Try to listen to your teen and see things from their perspective. ,2. Try to listen to your teen and see things from their perspective. ,text,
3. Thank your teen for being open and trusting you,3. Thank your teen for being open and trusting you,text,
"4. Once the consequence is over, give your child a chance to do something good, and praise them for it.","4. Once the consequence is over, give your child a chance to do something good, and praise them for it.",text,
"If we respond to these behaviours, our children learn that this behaviour will get them attention – it is like an attention reward for bad behaviour. They sometimes also learn that if they increase the demand, they will get their way. This happens to all of us!","If we respond to these behaviours, our children learn that this behaviour will get them attention – it is like an attention reward for bad behaviour. They sometimes also learn that if they increase the demand, they will get their way. This happens to all of us!",text,
"Consequences can also be used when your children forget a household rule, like going to bed at a certain hour or doing schoolwork before T.V. For example, you can tell your child that if they do not do their schoolwork before dinner, they cannot watch their favourite T.V. show that evening.","Consequences can also be used when your children forget a household rule, like going to bed at a certain hour or doing schoolwork before T.V. For example, you can tell your child that if they do not do their schoolwork before dinner, they cannot watch their favourite T.V. show that evening.",text,
"For example, if your child whines for sweets at the store, you might initially say “no” but then give in to your child when they start to have a tantrum","For example, if your child whines for sweets at the store, you might initially say “no” but then give in to your child when they start to have a tantrum",text,
Here are some examples of behaviours and possible consequences:,Here are some examples of behaviours and possible consequences:,text,
Sound familiar? But there is an answer! We call it Ignore. And here are 4 steps on how to do it!,Sound familiar? But there is an answer! We call it Ignore. And here are 4 steps on how to do it!,text,
1. Try to redirect your child's attention to something new when they demand something from you or are trying to get negative attention.,1. Try to redirect your child's attention to something new when they demand something from you or are trying to get negative attention.,text,
"2. If your child persists, ignore your child's behaviour. You could still be aware of what your child is doing while ignoring.","2. If your child persists, ignore your child's behaviour. You could still be aware of what your child is doing while ignoring.",text,
1. Realistic: Consider the age of your child,1. Realistic: Consider the age of your child,text,
2. Immediate: Give them as soon as possible,2. Immediate: Give them as soon as possible,text,
3. Fair: Make sure the consequence is not too harsh,3. Fair: Make sure the consequence is not too harsh,text,
4. Consistent: Make sure you can follow through if you have to,4. Consistent: Make sure you can follow through if you have to,text,
5. The last resort: Try to encourage the positive behaviour to happen more often!,5. The last resort: Try to encourage the positive behaviour to happen more often!,text,
3. Your child's behaviour might continue to get worse.  It is important that you continue to ignore the behaviour.,3. Your child's behaviour might continue to get worse.  It is important that you continue to ignore the behaviour.,text,
"4. When the behaviour ends, immediately redirect your child to a positive behaviour and praise them.","4. When the behaviour ends, immediately redirect your child to a positive behaviour and praise them.",text,
"Well done! You have added another skill to your Parenting Toolkit! Using consequences can help teach children self-discipline, independence, decision-making, and responsibility. They help children learn that their actions will have an impact on themselves and others. It is an important step to prepare them for their life outside of the family as they get older.","Well done! You have added another skill to your Parenting Toolkit! Using consequences can help teach children self-discipline, independence, decision-making, and responsibility. They help children learn that their actions will have an impact on themselves and others. It is an important step to prepare them for their life outside of the family as they get older.",text,
This takes time AND patience. Normally the behaviour will get worse because your child will try to test your resolve. This is a good time to Take a Pause and Keep Calm.,This takes time AND patience. Normally the behaviour will get worse because your child will try to test your resolve. This is a good time to Take a Pause and Keep Calm.,text,
"It sometimes gets worse before it gets better. Often, your child's response will grow more agitated when you start ignoring a specific  behaviour as your child tries to test your resolve. ","It sometimes gets worse before it gets better. Often, your child's response will grow more agitated when you start ignoring a specific  behaviour as your child tries to test your resolve. ",text,
"Try to remain consistent and calm (you can even Take a Pause). Over time, your child will learn that the demanding behaviour no longer works.","Try to remain consistent and calm (you can even Take a Pause). Over time, your child will learn that the demanding behaviour no longer works.",text,
In summary:,In summary:,text,
1. Try to redirect your child’s attention before ignoring,1. Try to redirect your child’s attention before ignoring,text,
2. Only ignore negative attention seeking and demanding behaviours like whining and tantrums,2. Only ignore negative attention seeking and demanding behaviours like whining and tantrums,text,
3. Ignoring behaviour means removing physical and verbal attention,3. Ignoring behaviour means removing physical and verbal attention,text,
6. Make sure you are giving your child plenty of positive attention and One-on-One Time,6. Make sure you are giving your child plenty of positive attention and One-on-One Time,text,
Well done! You have added another skill to your Parenting Toolkit. Having a tantrum can be just as traumatic and difficult for your child as it is for you. Make sure you give your child plenty of positive attention and love when they have calmed down. Be patient. This is not easy. But you can do this!,Well done! You have added another skill to your Parenting Toolkit. Having a tantrum can be just as traumatic and difficult for your child as it is for you. Make sure you give your child plenty of positive attention and love when they have calmed down. Be patient. This is not easy. But you can do this!,text,
"Create routines! Your children will feel more secure and safe when they know what is expected of them and how each day will go. Make a plan with them with time for play, meals, chores, school, and sleep.","Create routines! Your children will feel more secure and safe when they know what is expected of them and how each day will go. Make a plan with them with time for play, meals, chores, school, and sleep.",text,
"Daily routines, such as time for schoolwork, play, meals, and sleep, can help our children feel safe and secure. They also give our children a sense of security.","Daily routines, such as time for schoolwork, play, meals, and sleep, can help our children feel safe and secure. They also give our children a sense of security.",text,
Help your younger children learn routines by taking them through the activity step by step. Give one instruction at a time. Praise them each time they follow! ,Help your younger children learn routines by taking them through the activity step by step. Give one instruction at a time. Praise them each time they follow! ,text,
Involve your teen in creating daily plans. Set goals and rewards together. They can plan when they do schoolwork and when they relax! ,Involve your teen in creating daily plans. Set goals and rewards together. They can plan when they do schoolwork and when they relax! ,text,
"Transition warnings can also be very helpful. They give your child some time to prepare for the next activity: ""In 5 minutes it will be time to pack up the toys before bedtime…""","Transition warnings can also be very helpful. They give your child some time to prepare for the next activity: ""In 5 minutes it will be time to pack up the toys before bedtime…""",text,
"Regular eating and sleeping times are especially important for babies. Not enough sleep can make your child cranky, irritable, and short tempered.","Regular eating and sleeping times are especially important for babies. Not enough sleep can make your child cranky, irritable, and short tempered.",text,
"Regular eating and sleeping times are especially important for young babies. Not enough sleep can make your child cranky, irritable, and short tempered.","Regular eating and sleeping times are especially important for young babies. Not enough sleep can make your child cranky, irritable, and short tempered.",text,
Here are some tips for how to help your child prepare for bedtime:,Here are some tips for how to help your child prepare for bedtime:,text,
• Try to have regular bedtimes each day as much as possible.,• Try to have regular bedtimes each day as much as possible.,text,
• Try to make it quiet and the lights in the room dim. ,• Try to make it quiet and the lights in the room dim. ,text,
• Spend some time with your child. You can sing a lullaby or tell a calm story.,• Spend some time with your child. You can sing a lullaby or tell a calm story.,text,
• Give your child a hug and kiss goodnight before leaving the room.  ,• Give your child a hug and kiss goodnight before leaving the room.  ,text,
Involve your teen in creating daily plans. Set goals and rewards together. Let them plan when they do schoolwork and when they can relax! ,Involve your teen in creating daily plans. Set goals and rewards together. Let them plan when they do schoolwork and when they can relax! ,text,
Well done! You have added another tool to your Parenting Toolkit.  Here are some suggestions for routines that you could establish with your children:,Well done! You have added another tool to your Parenting Toolkit.  Here are some suggestions for routines that you could establish with your children:,text,
Bedtime,Bedtime,text,
Schoolwork,Schoolwork,text,
Chores,Chores,text,
Mealtime,Mealtime,text,
Play/free time,Play/free time,text,
T.V. or gadget time,T.V. or gadget time,text,
Storytime,Storytime,text,
One-on-One Time,One-on-One Time,text,
"You can add more, too!","You can add more, too!",text,
"Millions of families are struggling to make ends meet during COVID-19. When money is tight, this can make us feel anxious, stressed, and sad. How we understand and talk about money with our children is important. Our children can also help us to spend and save that will benefit the family.","Millions of families are struggling to make ends meet during COVID-19. When money is tight, this can make us feel anxious, stressed, and sad. How we understand and talk about money with our children is important. Our children can also help us to spend and save that will benefit the family.",text,
"Millions of families are struggling to make ends meet during COVID-19. When money is tight, this can make us feel anxious, stressed, and sad. How we understand and talk about money is important. We can also learn about how we can save in ways that will benefit the family.","Millions of families are struggling to make ends meet during COVID-19. When money is tight, this can make us feel anxious, stressed, and sad. How we understand and talk about money is important. We can also learn about how we can save in ways that will benefit the family.",text,
Making a budget with your children and teens.,Making a budget with your children and teens.,text,
"A budget is how we decide what we will spend our money on, even in stressful times. Making a budget together helps children understand that we all need to make hard decisions in difficult times. It can also help you have enough at the end of the month so that you need to borrow less.","A budget is how we decide what we will spend our money on, even in stressful times. Making a budget together helps children understand that we all need to make hard decisions in difficult times. It can also help you have enough at the end of the month so that you need to borrow less.",text,
Making a budget.,Making a budget.,text,
"A budget is how we decide what we will spend our money on, even in stressful times. Making a budget can help you have enough at the end of the month so that you need to borrow less.","A budget is how we decide what we will spend our money on, even in stressful times. Making a budget can help you have enough at the end of the month so that you need to borrow less.",text,
"That's okay! You can always type ""Help"" at anytime if you want this tip at another time. Chat to you later!","That's okay! You can always type ""Help"" at anytime if you want this tip at another time. Chat to you later!",text,
Do you want 4 quick steps to help you make a budget and save money?,Do you want 4 quick steps to help you make a budget and save money?,text,
Do you want 4 quick steps to help you make a budget and save money with your children?,Do you want 4 quick steps to help you make a budget and save money with your children?,text,
Step 1: What do we spend on now?,Step 1: What do we spend on now?,text,
• Get a piece of paper (or old newspaper or a cardboard box) and a pen.,• Get a piece of paper (or old newspaper or a cardboard box) and a pen.,text,
• Draw pictures of all the things that you and your family spend money on each month.,• Draw pictures of all the things that you and your family spend money on each month.,text,
• Write next to each picture how much each thing costs.,• Write next to each picture how much each thing costs.,text,
• Add up how much money you have to spend each month.,• Add up how much money you have to spend each month.,text,
Do you want to receive Step 2? ,Do you want to receive Step 2? ,text,
Step 2: Talk about needs and wants,Step 2: Talk about needs and wants,text,
"• Needs: Which things are important or must haves for your family to survive? (like food, soap to wash hands, needs for ill or disabled family members).","• Needs: Which things are important or must haves for your family to survive? (like food, soap to wash hands, needs for ill or disabled family members).",text,
• Wants: Which things are nice to have but not essential?,• Wants: Which things are nice to have but not essential?,text,
• Discuss with your children what things you could try to spend less on as a family.,• Discuss with your children what things you could try to spend less on as a family.,text,
Do you want to receive Step 3?,Do you want to receive Step 3?,text,
Step 3: Build your own budget,Step 3: Build your own budget,text,
• Find a bag of stones or anything with lots of bits. This is your money for the month.,• Find a bag of stones or anything with lots of bits. This is your money for the month.,text,
"• As a family, decide what you will spend on what, and put the stones on your picture.","• As a family, decide what you will spend on what, and put the stones on your picture.",text,
"• If you can save even a tiny amount for the future, or for an emergency  – it can make a big difference over time.","• If you can save even a tiny amount for the future, or for an emergency  – it can make a big difference over time.",text,
Do you want to receive Step 4?,Do you want to receive Step 4?,text,
Step 4: Find out where you can get extra help,Step 4: Find out where you can get extra help,text,
"Your government or community groups may be giving money, or food parcels to families during COVID-19. Ask about whether places in your community are giving support.","Your government or community groups may be giving money, or food parcels to families during COVID-19. Ask about whether places in your community are giving support.",text,
Well done for adding another tool to your Parenting Toolkit! Millions of families find that learning ways to manage money as a family reduces family arguments and brings everyone together. That's real success!,Well done for adding another tool to your Parenting Toolkit! Millions of families find that learning ways to manage money as a family reduces family arguments and brings everyone together. That's real success!,text,
"When your children ask you about COVID-19, be willing to talk. They will already have heard something. Silence and secrets do not protect our children. Honesty and openness do. Think about how much they will understand. You know them best.","When your children ask you about COVID-19, be willing to talk. They will already have heard something. Silence and secrets do not protect our children. Honesty and openness do. Think about how much they will understand. You know them best.",text,
Sorry I don't understand what you mean.,Sorry I don't understand what you mean.,text,
Here are 4 simple steps that you can do when talking about COVID-19 with your children:,Here are 4 simple steps that you can do when talking about COVID-19 with your children:,text,
"1. Be open, honest, and supportive","1. Be open, honest, and supportive",text,
2. It is okay not to know the answers,2. It is okay not to know the answers,text,
3. Be a hero not a bully,3. Be a hero not a bully,text,
4. End on a good note,4. End on a good note,text,
"Type ""1"" to ""4"" to learn more about each tip. Type ""N"" to stop this tip.","Type ""1"" to ""4"" to learn more about each tip. Type ""N"" to stop this tip.",text,
"That's okay! You can always type ""Help"" if you want to learn more about how to talk about COVID-19 with your child. Chat to you later!","That's okay! You can always type ""Help"" if you want to learn more about how to talk about COVID-19 with your child. Chat to you later!",text,
"Step 1. Be open, honest, and supportive","Step 1. Be open, honest, and supportive",text,
Allow your child to talk freely. Ask them open questions and find out how much they already know. ,Allow your child to talk freely. Ask them open questions and find out how much they already know. ,text,
Step 2. It is OK not to know the answers.,Step 2. It is OK not to know the answers.,text,
"It is fine to say “We don’t know, but we are working on it; or we don’t know, ‘but we think’.”  Use this as an opportunity to learn something new with your child. The WHO and UNICEF websites are great first steps to learn.","It is fine to say “We don’t know, but we are working on it; or we don’t know, ‘but we think’.”  Use this as an opportunity to learn something new with your child. The WHO and UNICEF websites are great first steps to learn.",text,
WHO: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public,WHO: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public,text,
UNICEF: https://www.unicef.org/coronavirus/covid-19 ,UNICEF: https://www.unicef.org/coronavirus/covid-19 ,text,
Step 3. Be a hero not a bully,Step 3. Be a hero not a bully,text,
"Explain that COVID-19 has nothing to do with the way someone looks, where they are from, or what language they speak. ","Explain that COVID-19 has nothing to do with the way someone looks, where they are from, or what language they speak. ",text,
Step 4. End on a good note,Step 4. End on a good note,text,
Check to see if your child is okay. Remind them that you care and that they can talk to you anytime. Then do something fun together!,Check to see if your child is okay. Remind them that you care and that they can talk to you anytime. Then do something fun together!,text,
Always answer their questions truthfully. Think about how old your child is and how much they can understand.,Always answer their questions truthfully. Think about how old your child is and how much they can understand.,text,
Your child may be scared or confused. Give them space to share how they are feeling and let them know you are there for them.,Your child may be scared or confused. Give them space to share how they are feeling and let them know you are there for them.,text,
Tell your child that we can be compassionate to people who are sick and those who are caring for them. ,Tell your child that we can be compassionate to people who are sick and those who are caring for them. ,text,
Would you like to go back and learn more about how to talk about COVID-19 with your children?,Would you like to go back and learn more about how to talk about COVID-19 with your children?,text,
"Well done for adding another tool to your Parenting First Aid Kit! When you talk about COVID-19 with your child in a supportive way, you make them feel loved and safe. You are the hero of this story!","Well done for adding another tool to your Parenting First Aid Kit! When you talk about COVID-19 with your child in a supportive way, you make them feel loved and safe. You are the hero of this story!",text,
"We understand that these times can be really difficult. Please type ""Help"" if you want any extra support or guidance. Chat to you later!","We understand that these times can be really difficult. Please type ""Help"" if you want any extra support or guidance. Chat to you later!",text,
Sometimes we feel frustrated with our children because we expect them to behave in ways that they are not yet developmentally ready for. ,Sometimes we feel frustrated with our children because we expect them to behave in ways that they are not yet developmentally ready for. ,text,
Learning about child development means we can have realistic expectations and also to spot any problems with their growth and development.,Learning about child development means we can have realistic expectations and also to spot any problems with their growth and development.,text,
All children develop at different rates. But there are some things that we expect children to be able to do at an age. These are called ‘development’ milestones.,All children develop at different rates. But there are some things that we expect children to be able to do at an age. These are called ‘development’ milestones.,text,
"That's okay! You can always type ""Help"" if you want to learn more about child development. ","That's okay! You can always type ""Help"" if you want to learn more about child development. ",text,
"Many things affect our children's development. For example, development is helped by eating healthy food, having immunisations, and parents or caregivers who talk to them a lot. ","Many things affect our children's development. For example, development is helped by eating healthy food, having immunisations, and parents or caregivers who talk to them a lot. ",text,
"If you are concerned that your child might be delayed in their development, here is a link to services in your area that may also be helpful: [INSERT LOCAL LINK]","If you are concerned that your child might be delayed in their development, here is a link to services in your area that may also be helpful: [INSERT LOCAL LINK]",text,
You can also visit UNICEF's website for more helpful information about child development [INSERT LOCAL UNICEF LINK],You can also visit UNICEF's website for more helpful information about child development [INSERT LOCAL UNICEF LINK],text,
Chat to you later!,Chat to you later!,text,
Which child development milestones do you want to learn about?,Which child development milestones do you want to learn about?,text,
Sorry I don't understand what you mean. ,Sorry I don't understand what you mean. ,text,
Infant (0–1 year) needs:,Infant (0–1 year) needs:,text,
"• Us to provide food, sleep, cleaning, comfort and safety.","• Us to provide food, sleep, cleaning, comfort and safety.",text,
• A strong bond with parent/ caregiver.,• A strong bond with parent/ caregiver.,text,
• Lots of play and attention - the most active time of brain development is during the first 1000 days of life!,• Lots of play and attention - the most active time of brain development is during the first 1000 days of life!,text,
Toddlers (2-3 years):,Toddlers (2-3 years):,text,
• Become a curious little explorer - watch out for climbing! ,• Become a curious little explorer - watch out for climbing! ,text,
• Learn through play and trying things out,• Learn through play and trying things out,text,
• Want to learn how to do new things (like getting dressed) and make their own decisions.,• Want to learn how to do new things (like getting dressed) and make their own decisions.,text,
• Want your praise and your approval,• Want your praise and your approval,text,
Young teenagers (10-12 years),Young teenagers (10-12 years),text,
• More interested in learning in school.,• More interested in learning in school.,text,
• Start to want independence and trust.,• Start to want independence and trust.,text,
• Want to spend time with other children and young teenagers.,• Want to spend time with other children and young teenagers.,text,
• May be interested in religion or spirituality,• May be interested in religion or spirituality,text,
